Feature,Importance_PI,Importance_MI,Importance_Difference
unknown_197.0209_6.860356,0.01883239432192511,0.012434200068232351,0.006398194253692759
oleic acid(18:1n9)_[M+H]+_283.2648_61.39968,0.014633114099581226,0.008288963654559403,0.006344150445021823
Formononetin_[M+H]+_269.0827_3.402403,0.013594537461902109,0.008478770545933139,0.00511576691596897
unknown_160.0376_2.067364,0.013407454340504166,0.008506433409944319,0.004901020930559847
unknown_289.2739_65.43459,0.01651976975584382,0.011715190507198187,0.004804579248645635
Coumestrol_[M]+_268.0383_4.413852,0.01467020484461908,0.009910819016165648,0.004759385828453432
unknown_143.0679_103.1301,0.019061789877645643,0.014542959509926519,0.004518830367719124
Myricetin_[M]+_318.0398_17.1529,0.01886869682367585,0.014637636143209499,0.004231060680466352
unknown_659.0618_4.488828,0.013630512194634785,0.009658320590747534,0.003972191603887251
unknown_383.1156_2.172227,0.014226087856083178,0.010611672643379538,0.0036144152127036405
2-Methoxymedicarpin_[2M+H]+_601.2112_23.81382,0.018486765491733243,0.015075382103224667,0.0034113833885085765
(-)-Pisatin_[M+H]+_315.0863_64.35699,0.013394410160741983,0.010099563586867017,0.0032948465738749655
stearic acid (18:0)_[M+H]+_285.2788_71.74791,0.013682556122807015,0.010419948240016425,0.0032626078827905896
unknown_225.0155_4.432354,0.020667284529334983,0.017469227029477247,0.0031980574998577357
myo-inositol_[M+H]+_181.0722_18.62774,0.0175258479079627,0.014401497609156787,0.003124350298805912
unknown_346.1976_70.84644,0.017372203595603954,0.014288841287244598,0.0030833623083593564
Spermidine_[M+H]+_146.1653_110.3042,0.014053533465793222,0.011120829148775121,0.0029327043170181005
Cinnamate_[2M+H]+_297.1095_13.89943,0.011985054434240321,0.009111246761979011,0.00287380767226131
Quercetin_[2M+H]+_605.0942_25.14126,0.02014541258690355,0.017490431394298196,0.002654981192605356
kaempferol-3-O-rhamnose_[M+H]+_433.1158_47.88103,0.013008365556733034,0.010408749362071642,0.002599616194661392
unknown_160.0948_20.15479,0.00953584023016266,0.006990569707369446,0.0025452705227932138
Salicylic acid_[M]+_138.0312_41.24615,0.013860571350002553,0.011390232236929289,0.0024703391130732645
unknown_442.9762_4.323653,0.018527072586857464,0.01610365067195889,0.0024234219148985756
unknown_431.0927_25.86627,0.015151836240899707,0.012812038710710256,0.0023397975301894507
unknown_383.0744_64.34344,0.015619779868264518,0.013398384327125793,0.002221395541138725
unknown_313.0971_17.24666,0.013666633532802662,0.011491471588007585,0.0021751619447950774
unknown_811.1927_31.78148,0.012682208337531059,0.010515695685975709,0.0021665126515553502
unknown_289.0656_6.755086,0.0072157697755361235,0.005096448706785973,0.002119321068750151
Pisatin demethylated_[M]+_300.0601_42.73049,0.01492977327663818,0.012972141367210603,0.0019576319094275763
Tyramine_[M+H]+_138.0909_5.79162,0.012111801889877863,0.010193340600869821,0.0019184612890080412
unknown_297.0949_5.883179,0.01145115163071982,0.009637320143611855,0.0018138314871079652
unknown_305.0419_47.10506,0.01281794750316093,0.011055469947674127,0.0017624775554868025
unknown_353.1448_29.81855,0.012862604376320802,0.011193992125177557,0.001668612251143245
unknown_617.1425_57.94861,0.017150768516342944,0.015601745636293355,0.0015490228800495894
2-Hydroxypseudobaptigenin_[M+H]+_299.0555_64.34122,0.016422486064089224,0.014884171585628544,0.0015383144784606798
unknown_188.07_25.65146,0.00941683902485855,0.007888213603727929,0.0015286254211306222
kaempferol-3-O-rhamnoglucoside_[M+H]+_595.1688_9.750732,0.014971979202146348,0.013499648687933718,0.00147233051421263
(+)-Dihydrokaempferol_[2M+H]+_577.1351_61.19988,0.015563350816134438,0.014187678047360024,0.0013756727687744136
unknown_267.0651_42.83254,0.017219616582851115,0.015992273030180033,0.0012273435526710813
unknown_343.0177_8.272765,0.011013365364841363,0.009817688882621932,0.0011956764822194307
Scopoletin_[M+H]+_193.0503_20.43515,0.016788639972482765,0.0161250312099309,0.000663608762551865
methyl Jasmonic acid_[M+H]+_225.148_44.55688,0.012182282400858365,0.012369505327595644,-0.0001872229267372797
unknown_293.0642_2.800658,0.008833191980479556,0.009419088062656365,-0.0005858960821768094
